timestamp,O,H,L,C
2025-11-16 13:00:00+03:00,989.0,990.5,988.0,990.5
2025-11-17 09:00:00+03:00,987.0,987.0,980.0,983.0
2025-11-17 13:00:00+03:00,984.0,986.5,983.0,985.5
2025-11-17 17:00:00+03:00,982.5,987.5,982.5,987.5
2025-11-17 21:00:00+03:00,984.5,984.5,982.0,982.0
2025-11-18 09:00:00+03:00,982.0,1007.0,977.0,1000.5
2025-11-18 13:00:00+03:00,1005.5,1005.5,997.5,1001.5
2025-11-18 17:00:00+03:00,1002.5,1004.5,1000.0,1004.5
2025-11-18 21:00:00+03:00,1002.5,1006.0,999.0,999.0
2025-11-19 09:00:00+03:00,1010.5,1012.5,1006.0,1008.0
2025-11-19 13:00:00+03:00,1007.5,1033.5,1004.0,1031.5
2025-11-19 17:00:00+03:00,1032.0,1051.0,1032.0,1045.0
2025-11-19 21:00:00+03:00,1042.5,1044.0,1033.0,1034.0
2025-11-20 09:00:00+03:00,1035.0,1035.5,1025.0,1030.5
2025-11-20 13:00:00+03:00,1038.0,1048.0,1036.0,1036.0
2025-11-20 17:00:00+03:00,1040.5,1044.0,1039.5,1044.0
2025-11-20 21:00:00+03:00,1038.5,1074.5,1038.0,1070.0
2025-11-21 09:00:00+03:00,1064.5,1078.5,1064.0,1074.0
2025-11-21 13:00:00+03:00,1072.0,1073.5,1064.0,1071.0
2025-11-21 17:00:00+03:00,1066.0,1079.5,1058.0,1074.0
2025-11-21 21:00:00+03:00,1075.0,1084.5,1074.0,1077.5
2025-11-24 09:00:00+03:00,1085.5,1090.5,1068.0,1068.0
2025-11-24 13:00:00+03:00,1070.5,1077.0,1066.0,1070.5
2025-11-24 17:00:00+03:00,1079.0,1079.0,1069.5,1072.0
2025-11-24 21:00:00+03:00,1072.5,1073.0,1072.5,1073.0
2025-11-25 09:00:00+03:00,1078.5,1078.5,1065.0,1065.0
2025-11-25 13:00:00+03:00,1059.5,1080.0,1057.0,1068.0
2025-11-25 17:00:00+03:00,1070.5,1086.0,1070.5,1086.0
2025-11-25 21:00:00+03:00,1087.0,1087.0,1077.5,1077.5
2025-11-26 09:00:00+03:00,1077.0,1078.5,1072.0,1072.0
2025-11-26 13:00:00+03:00,1076.5,1077.0,1073.0,1073.0
2025-11-26 17:00:00+03:00,1073.5,1074.0,1073.0,1073.0
2025-11-26 21:00:00+03:00,1078.0,1078.0,1078.0,1078.0
2025-11-27 09:00:00+03:00,1078.0,1082.0,1076.0,1079.0
2025-11-27 13:00:00+03:00,1079.0,1079.0,1070.0,1070.0
2025-11-27 17:00:00+03:00,1071.0,1072.0,1055.0,1060.5
2025-11-27 21:00:00+03:00,1060.0,1060.0,1060.0,1060.0
2025-11-28 09:00:00+03:00,1058.0,1067.0,1058.0,1067.0
2025-11-28 13:00:00+03:00,1067.0,1068.5,1061.5,1062.0
2025-11-28 17:00:00+03:00,1070.0,1098.0,1066.0,1091.0
2025-11-28 21:00:00+03:00,1092.5,1094.5,1092.5,1094.5
2025-11-29 09:00:00+03:00,1095.5,1095.5,1093.5,1093.5
2025-11-29 13:00:00+03:00,1094.5,1094.5,1094.5,1094.5
